run,type,module,name,attrname,attrvalue,value
TestCarJamming-0-20230220-19:15:59-19104,runattr,,,configname,TestCarJamming,
TestCarJamming-0-20230220-19:15:59-19104,runattr,,,datetime,20230220-19:15:59,
TestCarJamming-0-20230220-19:15:59-19104,runattr,,,experiment,TestCarJamming,
TestCarJamming-0-20230220-19:15:59-19104,runattr,,,inifile,omnetpp.ini,
TestCarJamming-0-20230220-19:15:59-19104,runattr,,,iterationvars,,
TestCarJamming-0-20230220-19:15:59-19104,runattr,,,iterationvarsf,,
TestCarJamming-0-20230220-19:15:59-19104,runattr,,,measurement,,
TestCarJamming-0-20230220-19:15:59-19104,runattr,,,network,DronesScenario,
TestCarJamming-0-20230220-19:15:59-19104,runattr,,,processid,19104,
TestCarJamming-0-20230220-19:15:59-19104,runattr,,,repetition,0,
TestCarJamming-0-20230220-19:15:59-19104,runattr,,,replication,#0,
TestCarJamming-0-20230220-19:15:59-19104,runattr,,,resultdir,results,
TestCarJamming-0-20230220-19:15:59-19104,runattr,,,runnumber,0,
TestCarJamming-0-20230220-19:15:59-19104,runattr,,,seedset,0,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.node[*].appl.sendBeacons,false,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.drone[*].appl.sendBeacons,false,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.manager.updateInterval,1s,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.droneManager.updateInterval,1s,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.droneManager.numberOfDrones,10,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.*.appl.rebroadcastDecider.rebroadcastProbability,0.1,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.playgroundSizeX,1250.00m,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.playgroundSizeY,1250.00m,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.playgroundSizeZ,1000m,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.annotations.draw,true,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.obstacles.obstacles,"xmldoc(""drones-config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.obstacles.additionalObstaclesXml,"xmldoc(""drones.poly.xml"")",
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.manager.updateInterval,1s,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.manager.host,"""localhost""",
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.manager.port,9999,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.manager.autoShutdown,true,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.manager.launchConfig,"xmldoc(""drones.launchd.xml"")",
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.connectionManager.sendDirect,true,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.connectionManager.maxInterfDist,2600m,
TestCarJamming-0-20230220-19:15:59-19104,param,,,*.connectionManager.drawMaxIntfDist,false,
